State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,219,68550,1294151,9936,85766,8850,3384,518,41.18,60.0,40.0,49.2,50.8
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,43,10039,600219,982,24604,1871,35,213,39.91,60.07,39.93,49.52,50.48
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,162,15008,2113079,8343,140189,33706,351714,661,54.35,57.99,42.01,49.85,50.15
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,33,383,955754,3300,124984,5278,12,107,71.5,57.0,43.0,52.21,47.79
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,76,1778,601092,1055,43976,4952,22,724,49.05,60.43,39.57,49.47,50.53
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,3416,243,4239,1644905,9678,201605,46094,302,193,76.05,54.56,45.44,50.94,49.06
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,1553,249,84916,874445,5146,61543,4607,44,219,42.13,59.34,40.66,48.76,51.24
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,5231,310,50637,964188,8628,126498,20120,1117,2506,67.59,55.88,44.12,50.61,49.39
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,12787,710,385011,1532352,13721,223537,71391,89986,5713,64.12,55.88,44.12,50.69,49.31
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,1868,63,18391,152638,6985,47880,28835,14,46,77.37,51.58,48.42,48.85,51.15
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,574,21,958,27940,3182,7150,12856,3,3,87.22,45.54,54.46,45.78,54.22
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,207,1,873,53537,522,12859,1191,4,3,70.6,50.72,49.28,49.08,50.92
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,29961,876,54344,690939,39155,461231,12502,1044,1716935,67.64,55.38,44.62,52.93,47.07
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,11284,246,2474,380569,29316,255650,16299,559,984286,60.85,57.79,42.21,53.52,46.48
