State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,3845,6671,5822,3508131,10212,95508,556219,98,5688,54.28,61.87,38.13,53.54,46.46
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,2217,2875,1148,1509708,6634,104176,171581,145,463,63.62,60.77,39.23,53.62,46.38
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,8002,7898,4947,3981502,16965,181467,483750,114,1286,60.78,57.31,42.69,49.41,50.59
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,8517,1203,7050,1823930,11278,183340,147842,311,4951,65.27,60.08,39.92,52.91,47.09
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,2825,189,5952,1075440,4225,89329,750368,21,5295,53.42,61.09,38.91,52.36,47.64
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,2488,2033,1263,1375788,5981,61491,273967,65,504,61.4,59.35,40.65,53.23,46.77
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,2682,819,1300,1612968,3816,49753,176327,103,478,65.15,59.22,40.78,53.63,46.37
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,1503,687,2225,1372381,3275,43753,220423,3,522,50.85,62.36,37.64,52.42,47.58
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,3486,4619,5006,2928462,7032,127331,620244,133,767,54.84,60.55,39.45,51.0,49.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,1079,69,1351,1163804,3469,77082,33724,41,1034,52.49,62.01,37.99,52.47,47.53
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,68506,3877,20493,3537787,57277,582769,985070,504,23883,68.13,55.72,44.28,52.17,47.83
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,1316,94,965,815142,2331,42936,57454,157,389,55.72,61.93,38.07,53.24,46.76
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,2642,8814,1729,1746649,4478,79022,100723,38,475,64.43,59.15,40.85,53.16,46.84
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,8726,883,3179,2310776,14830,281239,216933,126,2872,59.19,62.57,37.43,53.67,46.33
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,2656,564,2109,1769937,6358,149908,428555,129,340,61.79,56.72,43.28,50.53,49.47
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,23717,1855,10582,2183255,30303,425624,1185643,236,24912,62.19,58.58,41.42,53.02,46.98
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,4447,341,2373,2292534,7631,145997,195765,27,1133,57.22,60.6,39.4,52.56,47.44
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,11690,1260,13157,2488265,15527,281758,2248392,382,7555,47.44,59.96,40.04,52.46,47.54
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,10077,1516,6495,2382914,17771,368153,1711453,60,18601,58.34,59.92,40.08,52.94,47.06
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,2870,360,3510,1449007,5136,83006,489686,45,84787,52.24,61.66,38.34,52.78,47.22
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,716,32,358,827293,4004,71612,25597,27,72,46.27,62.29,37.71,50.44,49.56
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,5149,7795,3920,2731351,10950,140538,452394,43,1451,60.19,58.06,41.94,50.05,49.95
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,5184,722,3634,2975998,11007,247856,413243,602,2424,57.72,59.31,40.69,51.46,48.54
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,3847,384,9201,1073890,6043,131112,1181337,63,65316,44.68,60.4,39.6,52.4,47.6
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,9699,1937,6523,1966892,15910,404499,1454052,135,18627,59.92,58.74,41.26,52.91,47.09
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,2031,4393,1766,1300586,3780,79525,404410,35,447,55.68,59.39,40.61,50.7,49.3
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,3889,2312,4630,2412595,7979,115163,527581,84,51090,49.59,61.38,38.62,53.43,46.57
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,3874,2663,6579,3555450,8537,102040,893725,79,11611,50.93,61.2,38.8,52.97,47.03
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,5149,1747,3963,1738769,7734,95582,103567,1907,1649,52.92,61.07,38.93,52.15,47.85
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,5956,9989,4453,3119590,14299,233701,650261,336,1629,58.99,58.05,41.95,50.42,49.58
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,3476,920,3574,2732016,8742,99466,363453,31,1204,57.06,59.37,40.63,52.44,47.56
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,19214,1146,7696,3107681,19388,336056,546987,298,3309,65.38,57.79,42.21,52.27,47.73
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,1830,201,1895,611250,8171,109876,7752,6,256,70.12,53.06,46.94,46.76,53.24
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,435,102,397,257509,1561,47083,1440,16,46,69.06,54.35,45.65,47.84,52.16
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,899,190,428,385818,4217,71524,4395,23,323,71.64,55.39,44.61,49.54,50.46
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,548,24,870,249563,1995,37725,8693,6,336,68.45,57.4,42.6,50.5,49.5
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,1344,185,1401,475105,5112,95421,6015,30,260,71.48,54.88,45.12,49.5,50.5
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,1366,32,656,609835,5447,117239,7374,109,290,65.92,55.74,44.26,48.15,51.85
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,7883,505,6064,1104452,12987,254802,372267,159,162768,62.94,57.67,42.33,52.08,47.92
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,602,563,353,324859,1794,52621,3554,105,167,65.17,59.61,40.39,51.08,48.92
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,4273,260,3865,3033581,20907,334670,290450,260694,386,62.08,58.19,41.81,51.11,48.89
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,32323,1602,21220,6008472,73925,1049943,1599764,44968,16675,67.99,55.61,44.39,51.4,48.6
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,5210,258,10906,2181515,21042,333752,1298054,6051,582,61.63,55.66,44.34,51.13,48.87
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,2518,148,24794,1232850,8866,168069,412788,2786,276,64.65,55.04,44.96,51.14,48.86
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,10943,209240,141848,1366681,17538,297176,105086,15523,2032,71.24,54.55,45.45,50.75,49.25
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,30751,1258,8666,3535844,54551,796953,1270641,1265,4380,74.33,53.89,46.11,51.56,48.44
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,31725,1730,7300,4574569,78179,965258,870204,49050,2662,73.9,54.23,45.77,51.0,49.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,9322,50676,186279,3156781,26651,382500,445817,23816,2994,64.52,55.89,44.11,51.2,48.8
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,136618,4771,39758,3440290,168382,927602,926414,1452,13849,79.8,53.7,46.3,52.41,47.59
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,5357,359,13209,1914352,14202,297716,2045151,7929,747,52.31,55.21,44.79,51.43,48.57
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,7951,348,18102,2359061,24651,541169,4707573,7429,766,57.09,53.68,46.32,51.07,48.93
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,12787,514,33835,3728482,30270,623729,1382682,16893,849,67.35,53.98,46.02,51.35,48.65
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,3551,209,8646,2373120,8792,189889,227249,309029,622,55.46,61.67,38.33,51.09,48.91
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,2883,432,16702,1482943,7563,199307,1501170,1622,477,49.54,57.29,42.71,51.58,48.42
